order_id,customer_id,order_date,status,region_code
1,334,2024-12-26 18:14:06,RETURNED,CENTRAL
2,562,2025-12-19 17:15:57,DELIVERED,CENTRAL
3,578,2025-09-20 20:58:11,DELIVERED,EAST
4,494,2023-05-20 02:48:57,DELIVERED,EAST
5,160,2023-01-01 03:26:34,DELIVERED,SOUTH
6,481,2025-12-04 09:55:21,RETURNED,WEST
7,441,2025-07-16 09:54:47,SHIPPED,NORTH
8,194,2025-05-20 18:58:52,DELIVERED,SOUTH
9,400,2023-12-09 16:16:54,DELIVERED,WEST
10,530,2025-08-10 14:21:27,CANCELLED,EAST
11,545,2024-10-03 10:10:20,SHIPPED,NORTH
12,297,2024-12-08 08:25:04,DELIVERED,EAST
13,504,31-01-2023,SHIPPED,CENTRAL
14,105,2023-07-14 05:47:57,DELIVERED,NORTH
15,,2023-12-04 09:21:31,DELIVERED,EAST
16,511,2024-12-21 07:24:35,DELIVERED,NORTH
17,150,2024-09-01 14:32:39,PLACED,WEST
18,257,2023-01-20 14:20:22,SHIPPED,SOUTH
19,454,2023-02-22 01:21:15,SHIPPED,NORTH
20,214,2025-11-24 14:00:39,RETURNED,EAST
21,44,2025-05-03 17:49:31,DELIVERED,EAST
22,306,2023-03-22 21:57:47,CANCELLED,SOUTH
23,242,2024-05-19 02:44:23,PLACED,EAST
24,406,2023-01-14 20:55:44,RETURNED,CENTRAL
25,487,2023-08-29 18:31:06,DELIVERED,NORTH
26,512,19-08-2025,DELIVERED,NORTH
27,158,2023-06-16 19:51:04,SHIPPED,SOUTH
28,572,2024-06-23 12:56:37,CANCELLED,WEST
29,22,2024-07-10 09:27:07,DELIVERED,EAST
30,497,2025-05-18 09:57:17,DELIVERED,WEST
31,192,2024-05-17 19:41:51,DELIVERED,EAST
32,568,2025-04-05 02:14:19,SHIPPED,EAST
33,555,2023-01-02 02:50:13,DELIVERED,CENTRAL
34,190,2025-08-20 17:22:50,CANCELLED,CENTRAL
35,65,2025-04-17 05:45:19,CANCELLED,SOUTH
36,510,2023-08-28 10:26:21,DELIVERED,EAST
37,330,2025-03-23 18:19:47,DELIVERED,NORTH
38,133,2023-02-18 13:58:12,SHIPPED,WEST
39,33,2024-08-26 16:00:50,DELIVERED,CENTRAL
40,,09-12-2023,DELIVERED,NORTH
41,214,2023-05-05 05:00:20,DELIVERED,NORTH
42,426,2023-04-01 13:34:56,CANCELLED,EAST
43,73,2023-05-02 01:38:28,RETURNED,CENTRAL
44,237,2023-10-22 07:35:46,SHIPPED,SOUTH
45,184,2025-05-17 01:01:38,DELIVERED,NORTH
46,591,2024-12-13 14:20:35,DELIVERED,WEST
47,171,2025-05-04 08:11:55,DELIVERED,EAST
48,547,2024-11-19 04:41:26,RETURNED,EAST
